,year,region,number_of_projects_funded,total_funded_amount_in_mil,text,size
54,2010,Oceania,10,151.38552800000002,Region: Oceania<br>Total Projects Funded: 10<br>Total Funding in USD Millions: 151.38552800000002<br>Funded Year: 2010,3.1622776601683795
55,2011,Africa,159,12477.026601999998,Region: Africa<br>Total Projects Funded: 159<br>Total Funding in USD Millions: 12477.026601999998<br>Funded Year: 2011,12.609520212918492
56,2011,Americas,33,17140.148110000002,Region: Americas<br>Total Projects Funded: 33<br>Total Funding in USD Millions: 17140.148110000002<br>Funded Year: 2011,5.744562646538029
57,2011,Asia,106,14802.715400999998,Region: Asia<br>Total Projects Funded: 106<br>Total Funding in USD Millions: 14802.715400999998<br>Funded Year: 2011,10.295630140987
58,2011,Europe,9,569.4544730000001,Region: Europe<br>Total Projects Funded: 9<br>Total Funding in USD Millions: 569.4544730000001<br>Funded Year: 2011,3.0
59,2011,Oceania,30,250.316818,Region: Oceania<br>Total Projects Funded: 30<br>Total Funding in USD Millions: 250.316818<br>Funded Year: 2011,5.477225575051661
60,2012,Africa,147,9073.529254,Region: Africa<br>Total Projects Funded: 147<br>Total Funding in USD Millions: 9073.529254<br>Funded Year: 2012,12.12435565298214
61,2012,Americas,25,827.708441,Region: Americas<br>Total Projects Funded: 25<br>Total Funding in USD Millions: 827.708441<br>Funded Year: 2012,5.0
62,2012,Asia,88,14132.287774999999,Region: Asia<br>Total Projects Funded: 88<br>Total Funding in USD Millions: 14132.287774999999<br>Funded Year: 2012,9.38083151964686
63,2012,Europe,9,3867.7262299999998,Region: Europe<br>Total Projects Funded: 9<br>Total Funding in USD Millions: 3867.7262299999998<br>Funded Year: 2012,3.0
64,2012,Oceania,12,153.467746,Region: Oceania<br>Total Projects Funded: 12<br>Total Funding in USD Millions: 153.467746<br>Funded Year: 2012,3.4641016151377544
65,2013,Africa,128,10625.174308,Region: Africa<br>Total Projects Funded: 128<br>Total Funding in USD Millions: 10625.174308<br>Funded Year: 2013,11.313708498984761
66,2013,Americas,27,6553.441725000001,Region: Americas<br>Total Projects Funded: 27<br>Total Funding in USD Millions: 6553.441725000001<br>Funded Year: 2013,5.196152422706632
67,2013,Asia,97,7570.773603000001,Region: Asia<br>Total Projects Funded: 97<br>Total Funding in USD Millions: 7570.773603000001<br>Funded Year: 2013,9.848857801796104
68,2013,Europe,9,3732.9082999999996,Region: Europe<br>Total Projects Funded: 9<br>Total Funding in USD Millions: 3732.9082999999996<br>Funded Year: 2013,3.0
69,2013,Oceania,23,143.66550999999998,Region: Oceania<br>Total Projects Funded: 23<br>Total Funding in USD Millions: 143.66550999999998<br>Funded Year: 2013,4.795831523312719
70,2014,Africa,152,6185.230779999999,Region: Africa<br>Total Projects Funded: 152<br>Total Funding in USD Millions: 6185.230779999999<br>Funded Year: 2014,12.328828005937952
71,2014,Americas,13,3978.1170899999997,Region: Americas<br>Total Projects Funded: 13<br>Total Funding in USD Millions: 3978.1170899999997<br>Funded Year: 2014,3.605551275463989
72,2014,Asia,78,14569.873850000002,Region: Asia<br>Total Projects Funded: 78<br>Total Funding in USD Millions: 14569.873850000002<br>Funded Year: 2014,8.831760866327848
73,2014,Europe,4,916.773015,Region: Europe<br>Total Projects Funded: 4<br>Total Funding in USD Millions: 916.773015<br>Funded Year: 2014,2.0
74,2014,Oceania,24,130.31144799999998,Region: Oceania<br>Total Projects Funded: 24<br>Total Funding in USD Millions: 130.31144799999998<br>Funded Year: 2014,4.898979485566356
